User Comment,Country Focus,Craftsmanship,Price Perception,Sustainability,AI Sentiment
What about Edox? Is it good or trash?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Hi Teddy, what’s your opinion about Edox watches?",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Tissot is well known here  , i dunno where you guys are living .",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Teddy, I know this is an older video, how about Yema from France ?",France,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Titoni is another underrated Swiss brand .Master series and Seascoper are outstanding.Both are COSC certified movements at less than 1200 dollars.,Swiss,Mentioned,Good Value,Not Mentioned,Positive
"Tudor overpriced with the eta movement imho, the Baum is the better buy",China,Not Mentioned,Overpriced,Not Mentioned,Negative
Schwarz Etienne?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Revie thommen anything on that im thinking abt buying one as my fiest watch,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Very cool watchs thanks,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
I have a shitload of Belair Swiss watches,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Atlantic?,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Nice video of some lesser known brands. I know you’re not a fan of the gray market, but anyone who pays MSRP for a Baume & Mercier Has been taken. I love my B&M Capeland chronograph which I bought brand new a few years ago for 1/3 of MSRP. You can get almost as big a discount on Tissot and I imagine on a number of others listed here.",France,Not Mentioned,Overpriced,Not Mentioned,Negative
"I may be inviting hate, but that first watch stood out because I recently got a Swatch. I became interested in the sistem 51 and after having the watch for a little while I think it’s going to be as important to watches as quartz. Low priced but decent automatic in other words. I reverse sorted and got the most expensive one at a whopping $255 with free two day shipping. I think the crystal front and back are both plastic but not sure. So far it’s keeping perfect time and claims a 90 hour reserve. Will see how it lasts. But I think we’ll see more watches with this movement.",Switzerland,Not Mentioned,Fair,Not Mentioned,Positive
"Can you do a video on Gevril? Maybe even a review on one? I see them on a lot of outlet sites, with huge msrps and then with gigantic discounts. They almost seem like like the Invicta of swiss watches. Maybe Im wrong but it would be great to see your take on it.",Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
The Mondaine watch is simply a replica of the clocks you see in Switzerland at every train station.,Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"I’m a little confused how an American company, like Ball, can be considered “Swiss Made”.",Country Focus,Not Mentioned,Not Mentioned,Not Mentioned,Negative
Titoni and Epos have lovely watches,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
FUCK BOB'S WATCHES,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Anyone know about these ISW watches they sell online around $30-50, ludicrously ""marked down"" from alleged list prices around $600. Nothing but rave reviews on the big sites, but I can't find any expert witnesses who know about them.
They claim to be Swiss made movements, but the company folded, and I'm betting they're Chinese-assembled at the least.",China,Not Mentioned,Overpriced,Not Mentioned,Negative
Swiss watches the best wold longines Victorino swiss armi omega tissot tag heuer Rolex tudor patex philippe y vacheron constantin the best watches,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
"Tudor Style 41mm with fluted bezel and blue dial is on my list already, glad to hear you think it's worth getting too!",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Where is balmain.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"I have the Mondaine watch, but a different model number. I put a warranty on it also. It fits so perfect. It keeps excellent time. I love it. I recommend.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Positive
Is Epos a good Swiss brand to purchase?,Swiss,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Ball is the most important company to the watch business. No matter what type of watch you like Ball got the whole Ball of Wax started.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Neutral
Why does Tissot even add a date complication . . .You can hardly even see the date . . .,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
"Take a drink everytime Teddy smuggly says he's ""not a quartz guy"". I remember when I got my first few mechanical watches.....",Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Positive
